order	dataset_id	cluster_id	cluster_name	sample_id	gene_symbol	entrez_geneid	FBgn	avg_logFC	pct1	pct2	p_value	padj	other_value	other_value_type	rank	source_gene_info	rank_text
1665119	98	2	Crystal_cell	all	Chc	32537	FBgn0000319	-0.69	0.33	0.77	3.956174e-03	1.00	NULL	NULL	NULL	gene symbol	
1665120	98	2	Crystal_cell	all	Eb1	35584	FBgn0027066	-1.22	0.50	0.94	9.9e-06	0.07	NULL	NULL	NULL	gene symbol	
1665121	98	2	Crystal_cell	all	CG32138	39561	FBgn0267795	-0.51	0.25	0.69	5.326679e-03	1.00	NULL	NULL	NULL	gene symbol	
1665122	98	2	Crystal_cell	all	gb	43265	FBgn0039487	-0.66	0.16	0.60	8.752317e-03	1.00	NULL	NULL	NULL	gene symbol	
1665123	98	2	Crystal_cell	all	CG4390	42396	FBgn0038771	-0.67	0.16	0.60	6.438754e-03	1.00	NULL	NULL	NULL	gene symbol	
1665124	98	2	Crystal_cell	all	CG43446	12798498	FBgn0263400	-0.87	0.00	0.44	3.565589e-03	1.00	NULL	NULL	NULL	gene symbol	
1665125	98	2	Crystal_cell	all	Cnx99A	44643	FBgn0015622	-0.77	0.16	0.61	2.608836e-03	1.00	NULL	NULL	NULL	gene symbol	
1665126	98	2	Crystal_cell	all	CG34331	33011	FBgn0085360	-0.97	0.41	0.86	2.42651e-04	1.00	NULL	NULL	NULL	gene symbol	
1665127	98	2	Crystal_cell	all	CG44242	19836175	FBgn0265177	-0.73	0.08	0.52	3.325083e-03	1.00	NULL	NULL	NULL	gene symbol	
1665128	98	2	Crystal_cell	all	LanB1	34068	FBgn0261800	-0.31	0.25	0.69	0.01	1.00	NULL	NULL	NULL	gene symbol	
1665129	98	2	Crystal_cell	all	Tapdelta	45680	FBgn0021795	-0.79	0.41	0.86	5.23432e-04	1.00	NULL	NULL	NULL	gene symbol	
1665130	98	2	Crystal_cell	all	Arpc3A	41917	FBgn0038369	-0.64	0.08	0.53	7.084886e-03	1.00	NULL	NULL	NULL	gene symbol	
1665131	98	2	Crystal_cell	all	betaTub56D	37238	FBgn0284243	-0.36	0.50	0.95	5.847266e-03	1.00	NULL	NULL	NULL	gene symbol	
1665132	98	2	Crystal_cell	all	Gapdh1	35728	FBgn0001091	-1.00	0.41	0.86	1.35047e-04	1.00	NULL	NULL	NULL	gene symbol	
1665133	98	2	Crystal_cell	all	HDAC4	32278	FBgn0041210	-0.76	0.16	0.61	5.508605e-03	1.00	NULL	NULL	NULL	gene symbol	
1665134	98	2	Crystal_cell	all	CG7337	33367	FBgn0031374	-0.53	0.08	0.53	9.169373e-03	1.00	NULL	NULL	NULL	gene symbol	
1665135	98	2	Crystal_cell	all	Arpc1	34793	FBgn0001961	-1.15	0.41	0.87	1.1e-05	0.08	NULL	NULL	NULL	gene symbol	
1665136	98	2	Crystal_cell	all	CG9372	40137	FBgn0036891	-0.90	0.33	0.78	5.57887e-04	1.00	NULL	NULL	NULL	gene symbol	
1665137	98	2	Crystal_cell	all	CG32230	317928	FBgn0052230	-0.67	0.33	0.78	3.356184e-03	1.00	NULL	NULL	NULL	gene symbol	
1665138	98	2	Crystal_cell	all	Hsp26	39075	FBgn0001225	-1.01	0.33	0.78	5.01296e-04	1.00	NULL	NULL	NULL	gene symbol	
1665139	98	2	Crystal_cell	all	CG32276	251645	FBgn0047135	-1.36	0.50	0.95	9.09e-07	7.086398e-03	NULL	NULL	NULL	gene symbol	
1665140	98	2	Crystal_cell	all	CG3625	33198	FBgn0031245	-0.65	0.16	0.62	0.01	1.00	NULL	NULL	NULL	gene symbol	
1665141	98	2	Crystal_cell	all	CG2789	33231	FBgn0031263	-0.76	0.33	0.79	8.32536e-04	1.00	NULL	NULL	NULL	gene symbol	
1665142	98	2	Crystal_cell	all	eEF1delta	34363	FBgn0032198	-0.43	0.25	0.70	5.832365e-03	1.00	NULL	NULL	NULL	gene symbol	
1665143	98	2	Crystal_cell	all	wol	34134	FBgn0261020	-0.75	0.00	0.45	2.713994e-03	1.00	NULL	NULL	NULL	gene symbol	
1665144	98	2	Crystal_cell	all	sty	38424	FBgn0014388	-0.42	0.16	0.62	0.01	1.00	NULL	NULL	NULL	gene symbol	
1665145	98	2	Crystal_cell	all	Mec2	32905	FBgn0030993	-1.28	0.50	0.96	5.36e-06	0.04	NULL	NULL	NULL	gene symbol	
1665146	98	2	Crystal_cell	all	Sar1	42615	FBgn0038947	-0.62	0.16	0.62	8.204162e-03	1.00	NULL	NULL	NULL	gene symbol	
1665147	98	2	Crystal_cell	all	14-3-3epsilon	42186	FBgn0020238	-1.28	0.50	0.96	9.17e-07	7.152731e-03	NULL	NULL	NULL	gene symbol	
1665148	98	2	Crystal_cell	all	SkpA	31016	FBgn0025637	-0.68	0.25	0.71	4.587185e-03	1.00	NULL	NULL	NULL	gene symbol	
1665149	98	2	Crystal_cell	all	CG5554	37775	FBgn0034914	-0.84	0.25	0.71	6.03552e-04	1.00	NULL	NULL	NULL	gene symbol	
1665150	98	2	Crystal_cell	all	Sur-8	42093	FBgn0038504	-0.98	0.25	0.71	1.334447e-03	1.00	NULL	NULL	NULL	gene symbol	
1665151	98	2	Crystal_cell	all	Fis1	49892	FBgn0039969	-0.55	0.33	0.80	0.01	1.00	NULL	NULL	NULL	gene symbol	
1665152	98	2	Crystal_cell	all	CG6891	32865	FBgn0030955	-1.55	0.50	0.97	1.74e-07	1.357581e-03	NULL	NULL	NULL	gene symbol	
1665153	98	2	Crystal_cell	all	Pdi	39651	FBgn0286818	-0.60	0.41	0.88	6.197774e-03	1.00	NULL	NULL	NULL	gene symbol	
1665154	98	2	Crystal_cell	all	CG18343	36297	FBgn0033683	-0.72	0.25	0.72	1.276096e-03	1.00	NULL	NULL	NULL	gene symbol	
1665155	98	2	Crystal_cell	all	Fim	32721	FBgn0024238	-0.95	0.33	0.80	4.7442e-04	1.00	NULL	NULL	NULL	gene symbol	
1665156	98	2	Crystal_cell	all	CG44250	19836034	FBgn0265185	-1.28	0.16	0.64	5.52247e-04	1.00	NULL	NULL	NULL	gene symbol	
1665157	98	2	Crystal_cell	all	Rab11	42501	FBgn0015790	-0.79	0.33	0.80	8.54071e-04	1.00	NULL	NULL	NULL	gene symbol	
1665158	98	2	Crystal_cell	all	klar	38067	FBgn0001316	-0.25	0.33	0.80	5.176551e-03	1.00	NULL	NULL	NULL	gene symbol	
1665159	98	2	Crystal_cell	all	CG6287	34554	FBgn0032350	-0.68	0.25	0.72	2.14169e-03	1.00	NULL	NULL	NULL	gene symbol	
1665160	98	2	Crystal_cell	all	zfh1	43650	FBgn0004606	-0.52	0.33	0.80	3.427479e-03	1.00	NULL	NULL	NULL	gene symbol	
1665161	98	2	Crystal_cell	all	CG31777	261617	FBgn0051777	-1.67	0.50	0.97	6.75e-07	5.261944e-03	NULL	NULL	NULL	gene symbol	
1665162	98	2	Crystal_cell	all	vsg	39137	FBgn0045823	-0.91	0.50	0.97	1.18625e-04	0.92	NULL	NULL	NULL	gene symbol	
1665163	98	2	Crystal_cell	all	CG9629	40097	FBgn0036857	-0.68	0.08	0.56	4.559093e-03	1.00	NULL	NULL	NULL	gene symbol	
1665164	98	2	Crystal_cell	all	Spase25	32095	FBgn0030306	-0.92	0.16	0.64	5.82181e-04	1.00	NULL	NULL	NULL	gene symbol	
1665165	98	2	Crystal_cell	all	CG32147	251690	FBgn0047178	-0.78	0.16	0.65	2.892882e-03	1.00	NULL	NULL	NULL	gene symbol	
1665166	98	2	Crystal_cell	all	CG4250	37599	FBgn0034761	-2.07	0.50	0.98	9.87e-08	7.69499e-04	NULL	NULL	NULL	gene symbol	
1665167	98	2	Crystal_cell	all	CG11899	46391	FBgn0014427	-0.81	0.08	0.57	2.626129e-03	1.00	NULL	NULL	NULL	gene symbol	
1665168	98	2	Crystal_cell	all	CG42566	8674120	FBgn0260768	-1.03	0.00	0.48	1.680569e-03	1.00	NULL	NULL	NULL	gene symbol	
1665169	98	2	Crystal_cell	all	Non2	38341	FBgn0035370	-0.77	0.08	0.57	2.424378e-03	1.00	NULL	NULL	NULL	gene symbol	
1665170	98	2	Crystal_cell	all	CG11686	50024	FBgn0040551	-0.83	0.16	0.66	2.463138e-03	1.00	NULL	NULL	NULL	gene symbol	
1665171	98	2	Crystal_cell	all	CG1890	43737	FBgn0039869	-0.71	0.41	0.91	1.326853e-03	1.00	NULL	NULL	NULL	gene symbol	
1665172	98	2	Crystal_cell	all	Act42A	35526	FBgn0000043	-1.55	0.50	0.99	8.24e-08	6.42217e-04	NULL	NULL	NULL	gene symbol	
1665173	98	2	Crystal_cell	all	CG3505	41777	FBgn0038250	-0.84	0.00	0.49	1.459146e-03	1.00	NULL	NULL	NULL	gene symbol	
1665174	98	2	Crystal_cell	all	Snx1	33560	FBgn0031534	-0.83	0.00	0.50	1.365585e-03	1.00	NULL	NULL	NULL	gene symbol	
1665175	98	2	Crystal_cell	all	CG13384	34160	FBgn0032036	-0.89	0.16	0.66	1.88098e-03	1.00	NULL	NULL	NULL	gene symbol	
1665176	98	2	Crystal_cell	all	miple2	44787	FBgn0029002	-1.08	0.08	0.58	1.211632e-03	1.00	NULL	NULL	NULL	gene symbol	
1665177	98	2	Crystal_cell	all	sky	35359	FBgn0032901	-0.88	0.00	0.50	1.194529e-03	1.00	NULL	NULL	NULL	gene symbol	
1665178	98	2	Crystal_cell	all	Karl	32131	FBgn0030334	-1.16	0.41	0.92	4.18e-06	0.03	NULL	NULL	NULL	gene symbol	
1665179	98	2	Crystal_cell	all	viaf	39364	FBgn0036237	-0.88	0.08	0.59	7.76316e-04	1.00	NULL	NULL	NULL	gene symbol	
1665180	98	2	Crystal_cell	all	boca	48986	FBgn0004132	-0.67	0.08	0.59	3.274176e-03	1.00	NULL	NULL	NULL	gene symbol	
1665181	98	2	Crystal_cell	all	He	117464	FBgn0028430	-0.55	0.41	0.92	9.404321e-03	1.00	NULL	NULL	NULL	gene symbol	
1665182	98	2	Crystal_cell	all	Snx3	41551	FBgn0038065	-1.09	0.33	0.84	3.94e-05	0.30	NULL	NULL	NULL	gene symbol	
1665183	98	2	Crystal_cell	all	EloC	37237	FBgn0266711	-0.92	0.25	0.76	2.64284e-04	1.00	NULL	NULL	NULL	gene symbol	
1665184	98	2	Crystal_cell	all	Septin2	42438	FBgn0014029	-0.91	0.16	0.68	4.57578e-04	1.00	NULL	NULL	NULL	gene symbol	
1665185	98	2	Crystal_cell	all	Arpc5	33444	FBgn0031437	-1.21	0.33	0.84	6.39e-06	0.04	NULL	NULL	NULL	gene symbol	
1665186	98	2	Crystal_cell	all	pod1	31620	FBgn0029903	-0.81	0.08	0.59	2.26172e-03	1.00	NULL	NULL	NULL	gene symbol	
1665187	98	2	Crystal_cell	all	Cortactin	42491	FBgn0025865	-0.99	0.25	0.76	1.92148e-04	1.00	NULL	NULL	NULL	gene symbol	
1665188	98	2	Crystal_cell	all	Ance	34805	FBgn0012037	-1.27	0.16	0.68	1.368192e-03	1.00	NULL	NULL	NULL	gene symbol	
1665189	98	2	Crystal_cell	all	LKR	38622	FBgn0035610	-0.65	0.25	0.76	1.809371e-03	1.00	NULL	NULL	NULL	gene symbol	
1665190	98	2	Crystal_cell	all	Tpi	43582	FBgn0086355	-1.15	0.25	0.77	5.33e-05	0.41	NULL	NULL	NULL	gene symbol	
1665191	98	2	Crystal_cell	all	Pvr	34127	FBgn0032006	-0.66	0.16	0.68	4.400526e-03	1.00	NULL	NULL	NULL	gene symbol	
1665192	98	2	Crystal_cell	all	CG15098	37174	FBgn0034398	-1.02	0.41	0.93	3.31e-05	0.25	NULL	NULL	NULL	gene symbol	
1665193	98	2	Crystal_cell	all	KdelR	34427	FBgn0267330	-0.96	0.25	0.77	1.90728e-04	1.00	NULL	NULL	NULL	gene symbol	
1665194	98	2	Crystal_cell	all	Arf79F	40506	FBgn0010348	-1.02	0.16	0.69	1.40298e-04	1.00	NULL	NULL	NULL	gene symbol	
1665195	98	2	Crystal_cell	all	Dip-B	48450	FBgn0000454	-1.31	0.33	0.86	1.06e-05	0.08	NULL	NULL	NULL	gene symbol	
1665196	98	2	Crystal_cell	all	scf	38145	FBgn0025682	-1.15	0.41	0.94	1.79e-05	0.13	NULL	NULL	NULL	gene symbol	
1665197	98	2	Crystal_cell	all	yip2	34313	FBgn0040064	-0.65	0.08	0.61	2.788281e-03	1.00	NULL	NULL	NULL	gene symbol	
1665198	98	2	Crystal_cell	all	CG5399	41900	FBgn0038353	-2.12	0.16	0.69	2.59647e-04	1.00	NULL	NULL	NULL	gene symbol	
1665199	98	2	Crystal_cell	all	capt	45233	FBgn0261458	-1.09	0.33	0.86	3.41e-05	0.26	NULL	NULL	NULL	gene symbol	
1665200	98	2	Crystal_cell	all	CG31778	261616	FBgn0051778	-1.02	0.16	0.70	6.50154e-04	1.00	NULL	NULL	NULL	gene symbol	
1665201	98	2	Crystal_cell	all	Ama	40831	FBgn0000071	-1.26	0.41	0.95	1.5e-05	0.11	NULL	NULL	NULL	gene symbol	
1665202	98	2	Crystal_cell	all	l(2)k12914	37661	FBgn0021979	-0.82	0.25	0.78	5.20543e-04	1.00	NULL	NULL	NULL	gene symbol	
1665203	98	2	Crystal_cell	all	Sec61gamma	32968	FBgn0031049	-1.04	0.25	0.78	1.7259e-04	1.00	NULL	NULL	NULL	gene symbol	
1665204	98	2	Crystal_cell	all	CG5377	42645	FBgn0038974	-0.97	0.00	0.54	6.39887e-04	1.00	NULL	NULL	NULL	gene symbol	
1665205	98	2	Crystal_cell	all	hng3	38090	FBgn0035160	-1.02	0.16	0.71	1.69899e-04	1.00	NULL	NULL	NULL	gene symbol	
1665206	98	2	Crystal_cell	all	Hr4	31162	FBgn0264562	-1.01	0.16	0.71	4.11804e-04	1.00	NULL	NULL	NULL	gene symbol	
1665207	98	2	Crystal_cell	all	Mvl	42490	FBgn0011672	-0.52	0.25	0.79	4.329667e-03	1.00	NULL	NULL	NULL	gene symbol	
1665208	98	2	Crystal_cell	all	twr	40815	FBgn0262801	-1.12	0.16	0.71	5.59e-05	0.43	NULL	NULL	NULL	gene symbol	
